 TIME                    	Power                    	Power                    	
  +6.6500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.8499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.9000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.0999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.1500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.3499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.4000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.5999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.6500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.8499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.9000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +7.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.0500000000000007E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.0999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.1500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.1999999999999993E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.3000000000000007E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.3499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.4000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.4499999999999993E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.5500000000000007E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.5999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.6500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.6999999999999993E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.8000000000000007E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.8499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.9000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +8.9499999999999993E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +9.0000000000000000E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.0500000000000007E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.0999999999999996E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.1500000000000004E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.1999999999999993E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.2500000000000000E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.3000000000000007E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.3499999999999996E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.4000000000000004E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.4499999999999993E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.5000000000000000E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.5500000000000007E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.5999999999999996E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.6500000000000004E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.6999999999999993E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.7500000000000000E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.8000000000000007E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.8499999999999996E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.9000000000000004E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +9.9499999999999993E+00	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.0949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.1949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
